Date,Month,Region,State,Product Category,Quantity Sold
1/27/2023,January,North,Delhi,Professional,10
1/21/2023,January,North,Delhi,Professional,60
1/24/2023,January,North,Delhi,Professional,40
1/20/2023,January,North,Delhi,Professional,40
1/16/2023,January,North,Delhi,Professional,30
1/2/2023,January,North,Delhi,Professional,50
1/27/2023,January,North,Delhi,Lifestyle,10
1/29/2023,January,North,Delhi,Lifestyle,50
1/12/2023,January,North,Delhi,Lifestyle,40
1/24/2023,January,North,Delhi,Lifestyle,30
1/26/2023,January,North,Delhi,Adventure,50
1/17/2023,January,North,Delhi,Adventure,10
1/9/2023,January,North,Delhi,Adventure,20
1/30/2023,January,North,Delhi,Adventure,30
1/23/2023,January,North,Delhi,Adventure,60
1/21/2023,January,North,Delhi,Adventure,60
1/24/2023,January,North,Delhi,Adventure,50
1/30/2023,January,North,Punjab,Professional,30
1/10/2023,January,North,Punjab,Professional,30
1/14/2023,January,North,Punjab,Professional,60
1/25/2023,January,North,Punjab,Lifestyle,50
1/29/2023,January,North,Punjab,Lifestyle,10
1/2/2023,January,North,Punjab,Lifestyle,20
1/14/2023,January,North,Punjab,Lifestyle,60
1/27/2023,January,North,Punjab,Lifestyle,10
1/19/2023,January,North,Punjab,Adventure,20
1/28/2023,January,North,Punjab,Adventure,40
1/29/2023,January,North,Haryana,Professional,60
1/13/2023,January,North,Haryana,Professional,10
1/16/2023,January,North,Haryana,Professional,50
1/24/2023,January,North,Haryana,Professional,40
1/2/2023,January,North,Haryana,Lifestyle,40
1/14/2023,January,North,Haryana,Adventure,10
1/7/2023,January,North,Haryana,Adventure,30
1/24/2023,January,North,Haryana,Adventure,30
1/7/2023,January,South,Karnataka,Professional,60
1/30/2023,January,South,Karnataka,Professional,50
1/18/2023,January,South,Karnataka,Professional,10
1/25/2023,January,South,Karnataka,Professional,30
1/14/2023,January,South,Karnataka,Professional,50
1/24/2023,January,South,Karnataka,Professional,50
1/10/2023,January,South,Karnataka,Lifestyle,10
1/18/2023,January,South,Karnataka,Adventure,50
1/11/2023,January,South,Karnataka,Adventure,30
1/10/2023,January,South,Karnataka,Adventure,60
1/11/2023,January,South,Karnataka,Adventure,40
1/6/2023,January,South,Karnataka,Adventure,60
1/4/2023,January,South,Tamil Nadu,Professional,30
1/3/2023,January,South,Tamil Nadu,Professional,30
1/6/2023,January,South,Tamil Nadu,Professional,50
1/29/2023,January,South,Tamil Nadu,Professional,60
1/5/2023,January,South,Tamil Nadu,Professional,10
