Month,Region,State,Model,Budgeted Quantity
January,South,Tamil Nadu,Hatchback,12
January,South,Tamil Nadu,SUV,8
January,South,Tamil Nadu,Sedan,6
January,South,Karnataka,Hatchback,11
January,South,Karnataka,SUV,7
January,South,Karnataka,Sedan,5
January,South,Andhra Pradesh,Hatchback,10
January,South,Andhra Pradesh,SUV,6
January,South,Andhra Pradesh,Sedan,5
January,South,Maharashtra,Hatchback,15
January,South,Maharashtra,SUV,10
January,South,Maharashtra,Sedan,7
January,West,Gujarat,Hatchback,14
January,West,Gujarat,SUV,9
January,West,Gujarat,Sedan,6
January,West,Rajasthan,Hatchback,13
January,West,Rajasthan,SUV,8
January,West,Rajasthan,Sedan,6
January,North,Haryana,Hatchback,14
January,North,Haryana,SUV,9
January,North,Haryana,Sedan,6
January,North,Punjab,Hatchback,13
January,North,Punjab,SUV,8
January,North,Punjab,Sedan,5
January,North,Uttar Pradesh,Hatchback,12
January,North,Uttar Pradesh,SUV,7
January,North,Uttar Pradesh,Sedan,5
January,East,West Bengal,Hatchback,10
January,East,West Bengal,SUV,7
January,East,West Bengal,Sedan,5
February,South,Tamil Nadu,Hatchback,13
February,South,Tamil Nadu,SUV,7
February,South,Tamil Nadu,Sedan,6
February,South,Karnataka,Hatchback,12
February,South,Karnataka,SUV,8
February,South,Karnataka,Sedan,6
February,South,Andhra Pradesh,Hatchback,11
February,South,Andhra Pradesh,SUV,7
February,South,Andhra Pradesh,Sedan,5
February,South,Maharashtra,Hatchback,16
February,South,Maharashtra,SUV,11
February,South,Maharashtra,Sedan,8
February,West,Gujarat,Hatchback,15
February,West,Gujarat,SUV,10
February,West,Gujarat,Sedan,7
February,West,Rajasthan,Hatchback,14
February,West,Rajasthan,SUV,9
February,West,Rajasthan,Sedan,7
February,North,Haryana,Hatchback,15
February,North,Haryana,SUV,10
February,North,Haryana,Sedan,7
February,North,Punjab,Hatchback,14
February,North,Punjab,SUV,9
February,North,Punjab,Sedan,6
February,North,Uttar Pradesh,Hatchback,13
February,North,Uttar Pradesh,SUV,8
February,North,Uttar Pradesh,Sedan,5
February,East,West Bengal,Hatchback,11
February,East,West Bengal,SUV,8
February,East,West Bengal,Sedan,6
March,South,Tamil Nadu,Hatchback,14
March,South,Tamil Nadu,SUV,7
March,South,Tamil Nadu,Sedan,7
March,South,Karnataka,Hatchback,13
March,South,Karnataka,SUV,7
March,South,Karnataka,Sedan,6
March,South,Andhra Pradesh,Hatchback,12
March,South,Andhra Pradesh,SUV,8
March,South,Andhra Pradesh,Sedan,6
March,South,Maharashtra,Hatchback,17
March,South,Maharashtra,SUV,12
March,South,Maharashtra,Sedan,8
March,West,Gujarat,Hatchback,16
March,West,Gujarat,SUV,11
March,West,Gujarat,Sedan,8
March,West,Rajasthan,Hatchback,15
March,West,Rajasthan,SUV,10
March,West,Rajasthan,Sedan,7
March,North,Haryana,Hatchback,16
March,North,Haryana,SUV,11
March,North,Haryana,Sedan,7
March,North,Punjab,Hatchback,15
March,North,Punjab,SUV,10
March,North,Punjab,Sedan,7
March,North,Uttar Pradesh,Hatchback,14
March,North,Uttar Pradesh,SUV,9
March,North,Uttar Pradesh,Sedan,6
March,East,West Bengal,Hatchback,12
March,East,West Bengal,SUV,9
