Month,Region,State,Product Category,Budgeted Quantity
January,North,Delhi,Professional,50
January,North,Delhi,Lifestyle,50
January,North,Delhi,Adventure,50
January,North,Punjab,Professional,50
January,North,Punjab,Lifestyle,110
January,North,Punjab,Adventure,120
January,North,Haryana,Professional,120
January,North,Haryana,Lifestyle,60
January,North,Haryana,Adventure,160
January,South,Karnataka,Professional,30
January,South,Karnataka,Lifestyle,130
January,South,Karnataka,Adventure,110
January,South,Tamil Nadu,Professional,120
January,South,Tamil Nadu,Lifestyle,120
January,South,Tamil Nadu,Adventure,40
January,South,Kerala,Professional,130
January,South,Kerala,Lifestyle,80
January,South,Kerala,Adventure,80
January,West,Maharashtra,Professional,110
January,West,Maharashtra,Lifestyle,90
January,West,Maharashtra,Adventure,90
January,West,Gujarat,Professional,130
January,West,Gujarat,Lifestyle,130
January,West,Gujarat,Adventure,130
January,West,Rajasthan,Professional,30
January,West,Rajasthan,Lifestyle,100
January,West,Rajasthan,Adventure,100
February,North,Delhi,Professional,120
February,North,Delhi,Lifestyle,50
February,North,Delhi,Adventure,120
February,North,Punjab,Professional,150
February,North,Punjab,Lifestyle,30
February,North,Punjab,Adventure,60
February,North,Haryana,Professional,110
February,North,Haryana,Lifestyle,40
February,North,Haryana,Adventure,50
February,South,Karnataka,Professional,90
February,South,Karnataka,Lifestyle,0
February,South,Karnataka,Adventure,90
February,South,Tamil Nadu,Professional,140
February,South,Tamil Nadu,Lifestyle,80
February,South,Tamil Nadu,Adventure,160
February,South,Kerala,Professional,120
February,South,Kerala,Lifestyle,100
February,South,Kerala,Adventure,50
February,West,Maharashtra,Professional,20
February,West,Maharashtra,Lifestyle,20
February,West,Maharashtra,Adventure,160
February,West,Gujarat,Professional,180
February,West,Gujarat,Lifestyle,140
February,West,Gujarat,Adventure,60
February,West,Rajasthan,Professional,110
February,West,Rajasthan,Lifestyle,80
February,West,Rajasthan,Adventure,160
March,North,Delhi,Professional,160
March,North,Delhi,Lifestyle,80
March,North,Delhi,Adventure,170
March,North,Punjab,Professional,50
March,North,Punjab,Lifestyle,110
March,North,Punjab,Adventure,170
March,North,Haryana,Professional,110
March,North,Haryana,Lifestyle,110
March,North,Haryana,Adventure,170
March,South,Karnataka,Professional,130
March,South,Karnataka,Lifestyle,90
March,South,Karnataka,Adventure,60
