PlayerName,Team,Continent,MatchesPlayed,RunsScored,BattingAverage,HighestScore
Ethan Wilson,ENG,Europe,260,13500,58.92,267
Aarav Desai,IND,Asia,150,7600,60.84,245
Oliver Thompson,AUS,Oceania,150,8200,47.25,260
Mateo Gonzalez,ARG,South America,100,5600,51.38,249
Joshua Mbeki,RSA,Africa,90,4000,44.2,188
Xavier White,NZL,Oceania,220,12000,48.93,272
Santiago Rodriguez,ESP,Europe,160,8500,47.98,345
Mikhail Ivanov,RUS,Europe,110,7800,38.76,189
Ahmed Khan,PAK,Asia,100,5200,41.85,178
Liam O'Brien,IRE,Europe,80,2800,35.37,265
Bruno Santos,BRA,South America,260,12000,58.92,267
Jasper van den Berg,NED,Europe,260,12000,60.84,245
Pierre Dubois,FRA,Europe,150,13400,58.92,267
Nico Müller,GER,Europe,150,13500,60.84,245
Ali Al-Mansour,KSA,Asia,120,7000,47.25,245
