PlayerName,Team,State,MatchesPlayed,RunsScored,BattingAverage,HighestScore
Aarav Kapoor,MUM,Maharashtra,260,"13,500",58.92,271
Diya Patel,AMD,Gujarat,130,"7,000",60.84,245
Ishan Sharma,CHE,Tamil Nadu,150,"8,200",47.25,260
Riya Gupta,BLR,Karnataka,100,"5,600",51.38,249
Kabir Singh,TVM,Kerala,90,"4,000",44.2,188
Zara Khan,LKO,Uttar Pradesh,220,"12,000",48.93,272
Ananya Reddy,DEL,Delhi,160,"8,500",47.98,345
Arjun Malhotra,HYD,Telangana,110,"6,000",38.76,189
Niharika Sharma,JAI,Rajasthan,100,"4,200",41.85,178
Vikram Chauhan,CHD,Punjab,80,"2,800",35.37,265
Meera Joshi,KOL,West Bengal,260,"12,000",58.92,267
Yuvraj Singh,BHO,Madhya Pradesh,260,"12,000",60.84,245
Aanya Khanna,BBS,Odisha,130,"12,000",58.92,267
Advik Patel,CHD,Haryana,150,"13,500",60.84,245
Rahul Patel,JHA,Jharkhand,179,"12,500",60.84,299
