Date,Month,Office,Category,Transaction Amount
01/12/2024,January,Bengaluru,Salary,91286
01/13/2024,January,Bengaluru,Advertising,205469
01/13/2024,January,Hyderabad,Salary,14604
01/14/2024,January,Mumbai,Salary,143891
01/15/2024,January,Bengaluru,Salary,126794
01/13/2024,January,Hyderabad,Advertising,43561
01/16/2024,January,Hyderabad,Salary,70392
01/17/2024,January,Mumbai,Salary,98958
01/02/2024,January,Bengaluru,Maintenance,83944
01/02/2024,January,Hyderabad,Maintenance,89346
01/02/2024,January,Mumbai,Maintenance,56327
01/02/2024,January,Bengaluru,Maintenance,91255
01/02/2024,January,Hyderabad,Maintenance,141485
01/02/2024,January,Mumbai,Maintenance,130802
01/02/2024,January,Hyderabad,Maintenance,30663
01/02/2024,January,Hyderabad,Maintenance,108537
01/02/2024,January,Hyderabad,Maintenance,25259
01/03/2024,January,Hyderabad,Rent,104187
01/03/2024,January,Mumbai,Rent,89897
01/03/2024,January,Bengaluru,Rent,141562
01/09/2024,January,Mumbai,Advertising,105000
02/02/2024,February,Bengaluru,Rent,150000
02/03/2024,February,Bengaluru,Salary,77775
02/03/2024,February,Bengaluru,Salary,97682
02/03/2024,February,Mumbai,Salary,127227
02/03/2024,February,Mumbai,Salary,14533
02/04/2024,February,Bengaluru,Maintenance,71000
02/04/2024,February,Mumbai,Maintenance,34000
02/04/2024,February,Bengaluru,Maintenance,41255
02/04/2024,February,Mumbai,Maintenance,50802
02/03/2024,February,Hyderabad,Rent,105500
02/04/2024,February,Mumbai,Maintenance,12500
02/04/2024,February,Hyderabad,Maintenance,28000
02/04/2024,February,Hyderabad,Maintenance,23000
02/04/2024,February,Hyderabad,Maintenance,12350
02/04/2024,February,Hyderabad,Maintenance,12550
02/09/2024,February,Mumbai,Salary,127227
02/09/2024,February,Mumbai,Salary,14533
02/09/2024,February,Hyderabad,Salary,295500
02/04/2024,February,Bengaluru,Maintenance,81000
02/04/2024,February,Mumbai,Maintenance,54000
02/04/2024,February,Bengaluru,Maintenance,91255
02/04/2024,February,Mumbai,Maintenance,30802
02/04/2024,February,Mumbai,Maintenance,62500
02/09/2024,February,Mumbai,Salary,127227
02/09/2024,February,Mumbai,Salary,14533
02/04/2024,February,Bengaluru,Maintenance,81000
02/04/2024,February,Mumbai,Maintenance,54000
02/04/2024,February,Bengaluru,Maintenance,91255
02/04/2024,February,Mumbai,Maintenance,40802
02/04/2024,February,Mumbai,Maintenance,62500
02/09/2024,February,Mumbai,Salary,117227
02/09/2024,February,Mumbai,Salary,14533
02/04/2024,February,Bengaluru,Maintenance,81000
02/04/2024,February,Mumbai,Maintenance,54000
02/04/2024,February,Bengaluru,Maintenance,91255
02/04/2024,February,Hyderabad,Maintenance,25259
02/04/2024,February,Mumbai,Maintenance,62500
02/04/2024,February,Hyderabad,Maintenance,18900
02/04/2024,February,Hyderabad,Maintenance,23870
02/04/2024,February,Hyderabad,Maintenance,48000
02/04/2024,February,Hyderabad,Maintenance,29700
02/04/2024,February,Hyderabad,Maintenance,28750
02/04/2024,February,Hyderabad,Maintenance,20800
02/04/2024,February,Hyderabad,Maintenance,56000
02/09/2024,February,Bengaluru,Advertising,52365
02/09/2024,February,Hyderabad,Advertising,60000
02/09/2024,February,Mumbai,Salary,107227
02/09/2024,February,Mumbai,Salary,14533
02/04/2024,February,Bengaluru,Maintenance,81000
