Month,Office,Category,Budget Amount
January,Bengaluru,Rent,255000
January,Bengaluru,Salary,363173
January,Bengaluru,Maintenance,595780
January,Bengaluru,Advertising,250113
January,Hyderabad,Rent,255000
January,Hyderabad,Salary,362336
January,Hyderabad,Maintenance,159378
January,Hyderabad,Advertising,55914
January,Mumbai,Rent,255000
January,Mumbai,Salary,466478
January,Mumbai,Maintenance,168759
January,Mumbai,Advertising,162090
February,Bengaluru,Rent,255000
February,Bengaluru,Salary,462685
February,Bengaluru,Maintenance,853320
February,Bengaluru,Advertising,57975
February,Hyderabad,Rent,255000
February,Hyderabad,Salary,309729
February,Hyderabad,Maintenance,805165
February,Hyderabad,Advertising,151103
February,Mumbai,Rent,255000
February,Mumbai,Salary,1067859
February,Mumbai,Maintenance,991349
February,Mumbai,Advertising,64694
