id,title,month,year,publishTime,kind_stats,duration_seconds,viewCount,likeCount,commentCount,impressionCount
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,4,2021,2021-04-24,Shorts,861,84717282,2876493,128922,154185453.2
00NgUctWoLQ,"Extreme $1,000,000 Hide And Seek",12,2021,2021-12-18,Long,729,32090178,2125183,73593,139913176.1
ayXxwJJId_c,"I Bought The World&#39;s Largest Mystery Box! ($500,000)",4,2021,2021-04-03,Long,709,101745632,3110824,162796,67152117.12
cExLQ1o2pDw,"First To Rob Bank Wins $100,000",9,2021,2021-09-26,Long,482,50008942,2359606,120621,160028614.4
GLoeAJUcz38,"Press This Button To Win $100,000!",11,2020,2020-11-14,Shorts,911,145527042,2762425,83853,694163990.3
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,6,2021,2021-06-26,Long,754,79464833,2214006,94886,151777831
9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,3,2021,2021-03-27,Shorts,760,154322660,5379027,233576,637352585.8
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,4,2020,2020-04-11,Long,719,102795467,2080395,77842,216898435.4
vp5sSqyZ5Go,I Filled My Brother’s House With Slime &amp; Bought Him A New One,10,2020,2020-10-10,Shorts,625,95079717,2612376,116266,432612712.4
hxwpkM5w3Cc,I Got Hunted By The FBI,8,2021,2021-08-07,Long,1000,71993932,2558283,88986,111590594.6
uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",9,2021,2021-09-04,Shorts,760,57633714,2774047,99670,207481370.4
6wsFjjhZPJI,"Last To Leave Revolving Door Wins $50,000",7,2019,2019-07-02,Long,824,97585126,2518894,173872,391316355.3
x9TQ6culXIA,"$1,000,000 Influencer Tournament!",12,2021,2021-12-16,Long,725,34223993,2280759,80603,55785108.59
QbJJwaVdgIs,I Got Hunted By The Military,12,2021,2021-12-10,Long,662,43165039,2416595,90170,95826386.58
urtFrxDUV6c,"Would YOU Quit School For $100,000?",7,2021,2021-07-10,Shorts,694,55202068,2004164,78869,66242481.6
WcwGleN38zE,"Extreme $100,000 Game of Tag!",4,2021,2021-04-17,Shorts,1014,84989496,2449214,121200,163179832.3
UQtltNZ_pjs,I Won Every Prize At A Theme Park,8,2019,2019-08-15,Shorts,802,90623591,1883897,65304,172184822.9
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,8,2020,2020-08-01,Long,483,99174289,2642315,125468,269754066.1
Dc2ZRmuH5OM,"Steal This $100,000 Diamond, You Keep It",11,2020,2020-11-28,Shorts,843,103902204,2471218,92745,349111405.4
SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,10,2020,2020-10-29,Shorts,694,85113492,2833891,187948,176184928.4
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",8,2021,2021-08-31,Long,1166,95809336,3482783,94926,465633373
erQ_9yEz0ls,"I Bought The World&#39;s Largest Firework ($600,000)",7,2020,2020-07-03,Long,669,106594059,3641646,169970,493530493.2
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,7,2020,2020-07-23,Long,964,104797858,3343738,190567,86982222.14
FbM1yi4mMMc,I Bought A Private Island,8,2020,2020-08-13,Long,697,76692327,2751454,127362,284528533.2
5V2B28OqfqM,"I Spent $1,000,000 On Lottery Tickets and WON",8,2020,2020-08-08,Long,613,58842218,2143711,83396,267732091.9
AA-VpIj8F5Y,"Last To Stop Running Wins $20,000",6,2019,2019-06-06,Long,898,83179815,1832463,67034,49907889
5Fg9oZk-5uA,I Bought Everything In 5 Stores,1,2021,2021-01-09,Long,854,74045114,3640655,187773,52572030.94
C680oxL__ck,"I Ate $100,000 Golden Ice Cream",1,2021,2021-01-22,Long,797,99700649,3496697,163287,118643772.3
mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,6,2018,2018-06-28,Shorts,351,24150678,665682,44254,79938744.18
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,5,2020,2020-05-30,Long,952,158424466,3109009,106104,489531599.9
D9lVNzyhYnc,Surviving 24 Hours Straight In The Bermuda Triangle,11,2019,2019-11-09,Shorts,701,109909726,2376880,90444,193441117.8
f0c7pSCoZqE,"I Put 1,000,000 Christmas Lights On A House (World Record)",12,2020,2020-12-23,Long,748,54785723,2158821,111013,270093614.4
dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,12,2020,2020-12-19,Shorts,639,93929098,3525848,726861,417045195.1
cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,10,2021,2021-10-29,Long,295,52448898,4132687,177576,140038557.7
DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",3,2021,2021-03-13,Shorts,677,77042095,2576744,118980,265795227.8
RCvnytndd9c,"Last To Leave VR Wins $20,000",6,2019,2019-06-08,Shorts,858,82682475,1907558,90163,353054168.3
L8nh1wuXTbI,"I Gave Him One Hour To Spend $100,000!",1,2019,2019-01-01,Shorts,830,63835088,1321472,70116,241296632.6
Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,3,2019,2019-03-16,Long,844,87553418,1916757,87816,90180020.54
RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",11,2019,2019-11-30,Long,783,58637341,1358572,80284,43391632.34
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",11,2019,2019-11-14,Long,1017,83659525,2002815,52860,69437405.75
bs0SWXbty18,"Spending $1,000,000 In 24 Hours",12,2019,2019-12-21,Shorts,910,100601425,3030445,121346,115691638.8
2eFSU7TFOnk,Spending 24 Hours On Top Of A Mountain,6,2019,2019-06-13,Long,924,101663010,2313086,107422,203326020
F4Y3Pkn95GI,"I Ate A $70,000 Golden Pizza",2,2020,2020-02-29,Shorts,776,127179753,2846523,104376,588842256.4
lBYC4_Lccjw,Surviving 24 Hours On A Deserted Island,8,2019,2019-08-22,Shorts,832,107006436,2237697,74133,474038511.5
XaxhLbxZ13k,Last To Take Hand Off House Keeps It!,1,2019,2019-01-08,Shorts,1050,57359031,1097901,43997,67110066.27
HPJKxAhLw5I,"Planting 20,000,000 Trees, My Biggest Project Ever!",10,2019,2019-10-25,Long,443,64630566,3613873,165127,226853286.7
d1010B3sKNQ,Surviving 24 Hours Straight In A Rain Forest,9,2019,2019-09-21,Shorts,789,72343261,1616986,69857,290819909.2
wMuYiLby3-s,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",12,2019,2019-12-14,Shorts,705,38421073,1011945,94562,83373728.41
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",11,2021,2021-11-24,Shorts,1542,178763228,12250732,571946,627458930.3
gsWPpE4Rid0,Videos I Could Not Upload...,4,2020,2020-04-30,Shorts,812,65825475,2243567,60701,272517466.5
oI6aXhowFDY,I Went Back To Boy Scouts For A Day,1,2020,2020-01-25,Shorts,818,67041958,1450713,44487,67712377.58
LdMx2U5tby0,"$60,000 Extreme Hide And Seek - Challenge",1,2020,2020-01-17,Shorts,1079,79723782,1826700,48182,247143724.2
IoZri9hq7z4,I Uber’d People And Let Them Keep The Car,10,2020,2020-10-24,Long,851,62936687,2531831,83065,303984198.2
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",8,2020,2020-08-15,Shorts,1336,119576253,3719348,225860,193713529.9
X1jMMFOqxEw,"$50,000 Game Of Extreme Hide And Seek - Challenge",11,2019,2019-11-28,Long,903,92759192,2158975,50048,320019212.4
Ims5p6wjW9s,"Last To Take Hand Off Boat, Keeps It",10,2019,2019-10-19,Shorts,1008,68554762,1322438,57148,90492285.84
NbaWrbJDr48,"Last To Leave Toilet Wins $1,000,000 (Part 3)",12,2019,2019-12-07,Shorts,946,49275426,1202564,47812,63072545.28
vJH28ICkCdU,I Sold My House For $1,3,2021,2021-03-06,Long,649,73190107,2661083,115383,303738944.1
HfJMs4mrSJM,Molten Lava Vs Giant Ice Block Experiment,4,2019,2019-04-27,Long,458,62502385,1282091,42358,86253291.3
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",7,2021,2021-07-24,Long,645,59015812,1997674,67953,42491384.64
QxGVgXf_LNk,"Going Through The Same Drive Thru 1,000 Times",10,2019,2019-10-05,Shorts,938,138440792,3224679,124528,656209354.1
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",4,2021,2021-04-10,Shorts,849,109152270,3125932,133872,383124467.7
qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",10,2021,2021-10-23,Shorts,943,52868114,2641598,116591,224689484.5
sfv1QaRzJg8,I Ordered Pizza And Tipped The House,12,2019,2019-12-05,Shorts,782,86437502,3137075,102806,376867508.7
anFxsa5jXrE,"I Searched 100 Dumpsters, Here&#39;s What I Found",10,2019,2019-10-12,Long,1028,71845651,1324689,49545,224876887.6
H1WBdh56Vq4,Spending 24 Hours In A City With No Laws,5,2019,2019-05-07,Shorts,869,86936731,1686936,62530,146053708.1
LU_xVr4b2qM,"Going Around A Ferris Wheel 1,000 Times Straight",11,2019,2019-11-16,Shorts,776,54521829,1436159,46098,221358625.7
uE6gud1voDs,"Ordering Water Then Tipping $30,000",10,2018,2018-10-23,Shorts,723,39714916,1067119,47639,93727201.76
UtnsWzaoRtg,World&#39;s Largest Game Of Dodgeball,7,2019,2019-07-12,Shorts,677,42172274,1034966,54769,180075610
0DaMUhgcAqo,Destroying My Friend&#39;s Car And Surprising Him With A New One,8,2019,2019-08-10,Long,893,72016728,1962449,60791,239815704.2
9cCpZl8euLI,I Gave A Homeless Man A Home,2,2019,2019-02-28,Shorts,840,63719508,1891854,114574,110871943.9
AS6WMS_Bemg,I Can&#39;t Believe I Found This Stuff On Amazon..,12,2017,2017-12-22,Shorts,501,26928544,1101599,25163,71899212.48
A-vX1AGBGsc,I Went Back To 1st Grade For A Day,1,2019,2019-01-31,Shorts,1066,119352796,2306311,134931,287640238.4
TDiXxsQ0w2Q,Why I Haven’t Been Uploading,9,2020,2020-09-17,Shorts,382,32929921,2155684,98498,86276393.02
OAbP-V6fEVc,I Broke Into A House,6,2020,2020-06-25,Long,897,74412826,2290401,182264,148081523.7
ha4tRQwKIUg,I Bought Everything In A Store - Challenge,5,2019,2019-05-18,Shorts,1016,100371975,3393035,181956,187695593.3
ORUX1lHbOa8,I Opened A FREE BANK,11,2019,2019-11-23,Shorts,703,66772832,1895447,90447,174277091.5
NZlClr_ivb4,"Hit The Target, Win $300,000",6,2021,2021-06-12,Long,904,76492851,2378693,84362,236362909.6
PKtnafFtfEo,"Youtube Rewind 2020, Thank God It&#39;s Over",1,2021,2021-01-01,Long,391,57131190,4707358,297513,30850842.6
e5DqdX-7_g4,Surprising TFue With A Fortnite Battle Bus In Real Life,12,2018,2018-12-07,Long,865,89583695,1695042,64576,415668344.8
E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,6,2021,2021-06-01,Long,968,64846876,2183523,87041,41502000.64
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",12,2020,2020-12-15,Shorts,858,91681798,4286817,170811,67844530.52
nuM0Z4a7kMs,I Spent 24 Hours Straight In Insane Asylum,2,2019,2019-02-10,Long,978,91428157,1923305,134616,198399100.7
IYVjOfoU3uI,I Gave My Credit Card To Random People,2,2020,2020-02-01,Shorts,1008,101244292,2815381,94482,272347145.5
P4qWhSZ7_WA,Things That SHOULDN&#39;T Be Sold On Amazon,9,2018,2018-09-21,Shorts,846,86162309,1367280,49576,87023932.09
GUWGsIVEMSQ,"Surprising Tfue With $10,000 Live - Fortnite",10,2018,2018-10-04,Shorts,923,64588022,1377667,48151,248663884.7
yeqARWqjkps,"Last To Take Hand Off $1,000,000 Keeps It",12,2019,2019-12-19,Shorts,1023,84619778,2603385,301017,159931380.4
59AYXzCa-Cs,I Built The World&#39;s Largest Lego Tower,6,2020,2020-06-06,Shorts,836,81391428,2235151,73663,116389742
gL6iSCSHjco,"Last To Leave Roller Coaster Wins $20,000 - Challenge",8,2019,2019-08-17,Shorts,917,79468147,1890612,64659,97745820.81
_mdKvblL_8s,"$70,000 Extreme Hide And Seek - Challenge",3,2020,2020-03-13,Long,1121,72718526,1791848,67234,142528311
YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,5,2019,2019-05-30,Shorts,907,53637455,1727423,114242,245659543.9
tYHTVjfShOA,"Anything You Can Carry, I&#39;ll Pay For Challenge",4,2019,2019-04-20,Long,909,71865419,1458582,93083,301116105.6
i2O6GMpNWGo,"Last To Leave The Tesla, Keeps It Challenge",3,2019,2019-03-29,Long,1109,71745185,1371597,44302,221692621.7
3LLnjRLrvLU,I Opened A Free Car Dealership,8,2019,2019-08-29,Long,999,87814365,2734867,138144,355648178.3
KSKJKLmAqpI,"Lamborghini Race, Winner Keeps Lamborghini",2,2020,2020-02-08,Long,923,75289471,1846059,54821,204787361.1
q0OK-zHnvnA,Can A Glowing 1000 Degree Sword Slice A Car In Half?,9,2018,2018-09-06,Long,613,60674883,981980,39103,128630752
tBEBc4KQVsU,I Hope This Magic Trick Works,9,2018,2018-09-11,Long,982,38328312,654619,19884,90454816.32
0hVZOJCYBBM,Important Youtube Announcement (please watch),12,2019,2019-12-28,Long,155,32540299,2368072,135828,115843464.4
fWcSBWadolA,"Paying People $10,000 To Eat Ghost Pepper",6,2019,2019-06-01,Long,886,35878816,1026780,36349,93284921.6
w40Z8aT5fpQ,Why Do We Do Things That Are Bad For Us?????,5,2015,2015-05-14,Shorts,204,17555,688,90,39849.85
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,5,2020,2020-05-30,Long,952,158424466,3109009,106104,674888225.2
sirrTXiPFmw,I Bought One Snickers Bar From Every Walmart,1,2018,2018-01-13,Long,640,40462318,1037760,73226,116936099
3ix_gbcubTo,"Last To Leave Slime Pit Wins $20,000 - Challenge",11,2018,2018-11-30,Long,1088,80841407,1574991,70057,90542375.84
qPBtTPJHS0Q,I Advertised Pewdiepie At The Super Bowl,2,2019,2019-02-04,Shorts,793,39453220,1204795,68123,114808870.2
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",11,2021,2021-11-24,Long,1542,178763228,12250732,571946,595281549.2
nuM0Z4a7kMs,I Spent 24 Hours Straight In Insane Asylum,2,2019,2019-02-10,Long,978,91428157,1923305,134616,79542496.59
DoIQMkoYSzw,"SELLING ORGANS FOR $1,000,000",8,2016,2016-08-02,Shorts,335,3453554,120404,8072,9704486.74
97Gh93Daio0,I Made Money Grow On Trees,6,2018,2018-06-01,Shorts,634,15956954,400902,37412,36700994.2
t8aM4HuVLrQ,This is a block? Since when lol.,1,2013,2013-01-21,Shorts,52,360054,15298,3081,306045.9
9vB-48kHbBU,I Built A Giant House Using Only Legos,12,2018,2018-12-02,Long,829,54418062,928086,50622,228011679.8
5Fg9oZk-5uA,I Bought Everything In 5 Stores,1,2021,2021-01-09,Shorts,854,74045114,3640655,187773,119212633.5
koRKIlRQj4g,I Built A Mansion Using Only Cardboard Boxes,3,2018,2018-03-20,Long,431,23717561,532077,23953,56922146.4
8TFq_vvO_Wg,MrBeast6000&#39;s First Video (So Bad lol),11,2015,2015-11-19,Long,187,10953561,434878,33521,40528175.7
MC5h-ShR-S8,"We Drove 3,000 Miles For The World&#39;s Best Burger",6,2018,2018-06-09,Long,926,45984373,1091308,96737,105764057.9
IAbX0FwX-GY,Why I Haven&#39;t Been Uploading,3,2013,2013-03-25,Shorts,363,365229,,1312,613584.72
lfD7kMZKuNg,Big Channel&#39;s Starting Over???,8,2015,2015-08-05,Long,199,20549,571,92,38837.61
QbJJwaVdgIs,I Got Hunted By The Military,12,2021,2021-12-10,Long,662,43165039,2416595,90170,80286972.54
AiGKBNGlzHo,I Ran A Marathon In The World&#39;s Largest Shoes,3,2020,2020-03-21,Shorts,899,63756654,1933396,61076,45267224.34
dFr5YQaQQdo,"I Gave $20,000 To People From An Ice Cream Truck",5,2018,2018-05-02,Long,822,14142927,333063,21838,29417288.16
GLoeAJUcz38,"Press This Button To Win $100,000!",11,2020,2020-11-14,Long,911,145527042,2762425,83853,576287086.3
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,4,2020,2020-04-11,Shorts,719,102795467,2080395,77842,465663465.5
IYVjOfoU3uI,I Gave My Credit Card To Random People,2,2020,2020-02-01,Shorts,1008,101244292,2815381,94482,277409360.1
UE5AHE2Ypr8,"I Gave My 40,000,000th Subscriber 40 Cars",9,2020,2020-09-19,Shorts,1031,87102771,3128951,178670,419835356.2
52ubXjlVzUY,"Donating $100,000 To A Random Fortnite Streamer",8,2018,2018-08-05,Long,1382,49107493,1037696,51877,47634268.21
b91vrgVY-ZQ,"Attempting The Impossible Maze - $10,000 Challenge",8,2018,2018-08-15,Shorts,1187,49047821,930096,32951,151067288.7
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",4,2021,2021-04-10,Long,849,109152270,3125932,133872,445341261.6
mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,6,2018,2018-06-28,Shorts,351,24150678,665682,44254,90565042.5
nd-bwvNB7YA,Destroying My Friend&#39;s Car And Surprising Him With A New One - Slime,8,2018,2018-08-28,Shorts,971,85399212,1938017,64569,118704904.7
YyhKdOCwD7s,24 Hours In The Most Haunted Place On Earth,5,2019,2019-05-30,Long,907,53637455,1727423,114242,192558463.5
SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,10,2020,2020-10-29,Long,694,85113492,2833891,187948,308961976
NS3hse9ezik,"Last To Leave Ramen Noodle Pool Wins $20,000",9,2019,2019-09-13,Shorts,872,42663444,1024261,43030,155721570.6
P4qWhSZ7_WA,Things That SHOULDN&#39;T Be Sold On Amazon,9,2018,2018-09-21,Long,846,86162309,1367280,49576,113734247.9
fG1N5kzeAhM,Dear Future Me (Scheduled Uploaded 6 Months Ago),4,2016,2016-04-04,Shorts,145,1720103,113655,12064,6347180.07
