transaction_id,transaction_month,store_id,store_location,product_id,product_category,product_type,product_detail,transaction_qty,unit_price,sales
53407,October,5,Lower Manhattan,32,Coffee,Gourmet brewed coffee,Ethiopia Rg,2,3,6
36695,November,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2,3.1,6.2
84646,November,5,Lower Manhattan,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2,4.5,9
14622,October,5,Lower Manhattan,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2,2
72079,December,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,2,3.1,6.2
52552,November,5,Lower Manhattan,77,Bakery,Scone,Oatmeal Scone,1,3,3
18033,October,5,Lower Manhattan,22,Coffee,Drip coffee,Our Old Time Diner Blend Sm,1,2,2
30276,December,5,Lower Manhattan,28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2,2,4
83965,December,5,Lower Manhattan,39,Coffee,Barista Espresso,Latte Rg,1,4.25,4.25
58903,October,5,Lower Manhattan,58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,2,3.5,7
54820,October,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,2.55
77411,December,5,Lower Manhattan,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,3.5,7
18000,November,5,Lower Manhattan,51,Tea,Brewed Black tea,Earl Grey Lg,1,3,3
48073,October,5,Lower Manhattan,57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,1,3.1,3.1
64733,October,5,Lower Manhattan,87,Coffee,Barista Espresso,Ouro Brasileiro shot,2,3,6
42776,November,5,Lower Manhattan,47,Tea,Brewed Green tea,Serenity Green Tea Lg,2,3,6
11604,December,5,Lower Manhattan,79,Bakery,Scone,Jumbo Savory Scone,1,3.75,3.75
68677,November,8,Hell's Kitchen,42,Tea,Brewed herbal tea,Lemon Grass Rg,1,2.5,2.5
66324,October,8,Hell's Kitchen,59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,2,4.5,9
85265,November,8,Hell's Kitchen,61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,1,4.75,4.75
18971,December,8,Hell's Kitchen,33,Coffee,Gourmet brewed coffee,Ethiopia Lg,2,3.5,7
96356,October,5,Lower Manhattan,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2,2.55,5.1
57666,November,5,Lower Manhattan,69,Bakery,Biscotti,Hazelnut Biscotti,1,3.25,3.25
26071,November,8,Hell's Kitchen,56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,1,2.55,2.55
61928,October,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,1,3.75,3.75
82024,November,5,Lower Manhattan,43,Tea,Brewed herbal tea,Lemon Grass Lg,1,3,3
84052,December,5,Lower Manhattan,76,Bakery,Biscotti,Chocolate Chip Biscotti,1,3.5,3.5
67181,December,5,Lower Manhattan,45,Tea,Brewed herbal tea,Peppermint Lg,2,3,6
76431,November,5,Lower Manhattan,71,Bakery,Pastry,Chocolate Croissant,1,3.75,3.75
52726,November,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,2,3.75,7.5
83445,October,8,Hell's Kitchen,38,Coffee,Barista Espresso,Latte,1,3.75,3.75
92250,December,5,Lower Manhattan,26,Coffee,Organic brewed coffee,Brazilian Rg,1,3,3
99796,November,5,Lower Manhattan,27,Coffee,Organic brewed coffee,Brazilian Lg,2,3.5,7
65366,November,5,Lower Manhattan,29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2,2.5,5
62000,November,8,Hell's Kitchen,54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,1,2.5,2.5
79890,October,5,Lower Manhattan,26,Coffee,Organic brewed coffee,Brazilian Rg,1,3,3
87306,October,5,Lower Manhattan,55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,1,4,4
22876,November,8,Hell's Kitchen,40,Coffee,Barista Espresso,Cappuccino,2,3.75,7.5
