ProductId,Name,Platform,Year,Genre,Publisher,SalesNA,SalesEU,SalesAsia,SalesOther,SalesGlobal,Price
1,Wii Sports,Wii,2006,Sports,#Nintendo,41490,29020,3770,8460,82740,1372
2,Super Mario Bros.,NES,1985,Platform,#Nintendo,29080,3580,6810,770,40240,982
3,Mario Kart Wii,Wii,2008,Racing,#Nintendo,15850,12880,3790,3310,35830,1243
4,Wii Sports Resort,Wii,2009,Sports,#Nintendo,15750,11010,3280,2960,33000,1177
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,#Nintendo,11270,8890,10220,1000,31380,1147
6,Tetris,GB,1989,Puzzle,#Nintendo,23200,2260,4220,580,30260,743
7,New Super Mario Bros.,DS,2006,Platform,#Nintendo,11380,9230,6500,2900,30010,1408
8,Wii Play,Wii,2006,Misc,#Nintendo,14030,9200,2930,2850,29010,633
9,New Super Mario Bros. Wii,Wii,2009,Platform,#Nintendo,14590,7060,4700,2260,28610,1319
10,Duck Hunt,NES,1984,Shooter,#Nintendo,26930,630,280,470,28310,994
11,Nintendogs,DS,2005,Simulation,#Nintendo,9070,11000,1930,2750,24750,1120
12,Mario Kart DS,DS,2005,Racing,#Nintendo,9810,7570,4130,1920,23430,843
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,#Nintendo,9000,6180,7200,710,23090,1235
14,Wii Fit,Wii,2007,Sports,#Nintendo,8940,8030,3600,2150,22720,1453
15,Wii Fit Plus,Wii,2009,Sports,#Nintendo,9090,8590,2530,1790,22000,853
16,Kinect Adventures!,X360,2010,Misc,#Microsoft Game Studios,14970,4940,240,1670,21820,1142
17,Grand Theft Auto V,PS3,2013,Action,#Take-Two Interactive,7010,9270,970,4140,21390,1052
18,Grand Theft Auto: San Andreas,PS2,2004,Action,#Take-Two Interactive,9430,400,410,10570,20810,608
19,Super Mario World,SNES,1990,Platform,#Nintendo,12780,3750,3540,550,20620,1417
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,#Nintendo,4750,9260,4160,2050,20220,732
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,#Nintendo,6420,4520,6040,1370,18350,598
22,Super Mario Land,GB,1989,Platform,#Nintendo,10830,2710,4180,420,18140,1321
23,Super Mario Bros. 3,NES,1988,Platform,#Nintendo,9540,3440,3840,460,17280,609
24,Grand Theft Auto V,X360,2013,Action,#Take-Two Interactive,9630,5310,60,1380,16380,736
25,Grand Theft Auto: Vice City,PS2,2002,Action,#Take-Two Interactive,8410,5490,470,1780,16150,660
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,#Nintendo,6060,3900,5380,500,15840,1028
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,#Nintendo,5570,3280,5650,820,15320,578
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,#Nintendo,3440,5360,5320,1180,15300,972
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,#Sony Computer Entertainment,6850,5090,1870,1160,14970,722
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,#Activision,9030,4280,130,1320,14760,549
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,#Nintendo,5890,5040,3120,590,14640,738
32,Call of Duty: Black Ops,X360,2010,Shooter,#Activision,9670,3730,110,1130,14640,1193
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,#Nintendo,5170,4050,4340,790,14350,722
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,#Activision,5770,5810,350,2310,14240,1090
35,Call of Duty: Black Ops II,PS3,2012,Shooter,#Activision,4990,5880,650,2520,14040,1488
36,Call of Duty: Black Ops II,X360,2012,Shooter,#Activision,8250,4300,70,1120,13740,564
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,#Activision,8520,3630,80,1290,13520,751
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,#Activision,5540,5820,490,1620,13470,777
39,Grand Theft Auto III,PS2,2001,Action,#Take-Two Interactive,6990,4510,300,1300,13100,530
40,Super Smash Bros. Brawl,Wii,2008,Fighting,#Nintendo,6750,2610,2660,1020,13040,757
41,Call of Duty: Black Ops,PS3,2010,Shooter,#Activision,5980,4440,480,1830,12730,735
42,Animal Crossing: Wild World,DS,2005,Simulation,#Nintendo,2550,3520,5330,880,12280,783
43,Mario Kart 7,3DS,2011,Racing,#Nintendo,4740,3910,2670,890,12210,522
44,Halo 3,X360,2007,Shooter,#Microsoft Game Studios,7970,2830,130,1210,12140,1146
45,Grand Theft Auto V,PS4,2014,Action,#Take-Two Interactive,3800,5810,360,2020,11990,1062
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,#Nintendo,4400,2770,3960,770,11900,839
47,Super Mario 64,N64,1996,Platform,#Nintendo,6910,2850,1910,230,11900,931
48,Gran Turismo 4,PS2,2004,Racing,#Sony Computer Entertainment,3010,10,1100,7530,11650,1242
49,Super Mario Galaxy,Wii,2007,Platform,#Nintendo,6160,3400,1200,760,11520,782
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,#Nintendo,4230,3370,3080,650,11330,745
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,#Nintendo,6160,2040,2690,290,11180,1449
52,Grand Theft Auto IV,X360,2008,Action,#Take-Two Interactive,6760,3100,140,1030,11030,695
53,Gran Turismo,PS,1997,Racing,#Sony Computer Entertainment,4020,3870,2540,520,10950,518
54,Super Mario 3D Land,3DS,2011,Platform,#Nintendo,4890,2990,2130,780,10790,1293
55,Gran Turismo 5,PS3,2010,Racing,#Sony Computer Entertainment,2960,4880,810,2120,10770,1034
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,#Activision,4990,3690,380,1630,10690,883
57,Grand Theft Auto IV,PS3,2008,Action,#Take-Two Interactive,4760,3760,440,1620,10580,1411
58,Super Mario All-Stars,SNES,1993,Platform,#Nintendo,5990,2150,2120,290,10550,879
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,#Nintendo,4340,2650,3150,350,10490,682
60,Super Mario 64,DS,2004,Platform,#Nintendo,5080,3110,1250,980,10420,1366
61,Just Dance 3,Wii,2011,Misc,#Ubisoft,6050,3150,0,1070,10270,531
62,Call of Duty: Ghosts,X360,2013,Shooter,#Activision,6720,2630,40,820,10210,970
63,Halo: Reach,X360,2010,Shooter,#Microsoft Game Studios,7030,1980,80,780,9870,1308
64,Mario Kart 64,N64,1996,Racing,#Nintendo,5550,1940,2230,150,9870,1259
65,New Super Mario Bros. 2,3DS,2012,Platform,#Nintendo,3660,3070,2470,630,9830,949
66,Halo 4,X360,2012,Shooter,#Microsoft Game Studios,6630,2360,40,730,9760,1474
67,Final Fantasy VII,PS,1997,Role-Playing,#Sony Computer Entertainment,3010,2470,3280,960,9720,711
68,Call of Duty: Ghosts,PS3,2013,Shooter,#Activision,4090,3730,380,1380,9580,877
69,Just Dance 2,Wii,2010,Misc,#Ubisoft,5840,2890,10,780,9520,1254
70,Gran Turismo 2,PS,1999,Racing,#Sony Computer Entertainment,3880,3420,1690,500,9490,1066
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,#Activision,5910,2380,130,900,9320,1470
72,Donkey Kong Country,SNES,1994,Platform,#Nintendo,4360,1710,3000,230,9300,838
73,Minecraft,X360,2013,Misc,#Microsoft Game Studios,5580,2830,20,770,9200,734
74,Animal Crossing: New Leaf,3DS,2012,Simulation,#Nintendo,2010,2320,4360,410,9100,1440
75,Mario Party DS,DS,2007,Misc,#Nintendo,4460,1880,1980,700,9020,707
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,#Bethesda Softworks,5030,2860,100,850,8840,1183
77,Super Mario Kart,SNES,1992,Racing,#Nintendo,3540,1240,3810,180,8770,517
78,FIFA 16,PS4,2015,Sports,#Electronic Arts,1110,6060,60,1260,8490,505
79,Wii Party,Wii,2010,Misc,#Nintendo,1790,3530,2490,680,8490,1159
80,Halo 2,XB,2004,Shooter,#Microsoft Game Studios,6820,1530,50,80,8480,987
81,Mario Party 8,Wii,2007,Misc,#Nintendo,3810,2300,1580,730,8420,972
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,#Nintendo,2910,1860,3140,430,8340,566
83,FIFA Soccer 13,PS3,2012,Action,#Electronic Arts,1060,5050,130,2010,8250,611
84,The Sims 3,PC,2009,Simulation,#Electronic Arts,980,6420,0,710,8110,1328
85,GoldenEye 007,N64,1997,Shooter,#Nintendo,5800,2010,130,150,8090,1355
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,#Sega,2580,3900,660,910,8050,605
87,Final Fantasy X,PS2,2001,Role-Playing,#Sony Computer Entertainment,2910,2070,2730,330,8040,819
88,Final Fantasy VIII,PS,1999,Role-Playing,#SquareSoft,2280,1720,3630,230,7860,1485
89,Pokémon Platinum Version,DS,2008,Role-Playing,#Nintendo,2820,1780,2690,550,7840,1196
90,Pac-Man,PS4,1982,Puzzle,#Atari,7280,450,0,80,7810,895
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,#Take-Two Interactive,2900,2830,240,1750,7720,1235
92,Super Mario Galaxy 2,Wii,2010,Platform,#Nintendo,3660,2420,980,640,7700,700
93,Star Wars Battlefront (2015),PS4,2015,Shooter,#Electronic Arts,2930,3290,220,1230,7670,1210
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,#Activision,2800,3300,140,1370,7610,1273
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,#Nintendo,4100,1890,1450,160,7600,1464
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,#Sony Computer Entertainment,3780,2170,1310,310,7570,875
97,Super Mario Bros. 2,NES,1988,Platform,#Nintendo,5390,1180,700,190,7460,559
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,#Nintendo,3240,1350,2420,430,7440,621
99,Call of Duty: World at War,X360,2008,Shooter,#Activision,4790,1900,0,690,7380,1160
100,Battlefield 3,X360,2011,Shooter,#Electronic Arts,4460,2130,60,690,7340,1128
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,#Nintendo,3830,2190,600,700,7320,1175
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,#Activision,4520,2090,10,670,7290,1251
103,Just Dance,Wii,2009,Misc,#Ubisoft,3510,3030,0,730,7270,1216
104,Battlefield 3,PS3,2011,Shooter,#Electronic Arts,2850,2930,350,1100,7230,1219
105,Need for Speed Underground,PS2,2003,Racing,#Electronic Arts,3270,2830,80,1020,7200,1425
106,Tekken 3,PS,1998,Fighting,#Sony Computer Entertainment,3270,2220,1400,290,7180,1131
107,Crash Bandicoot 3: Warped,PS,1998,Platform,#Sony Computer Entertainment,3680,1750,1420,280,7130,1462
108,Super Smash Bros. Melee,GC,2001,Fighting,#Nintendo,4410,1040,1390,220,7060,1487
109,Mario Kart 8,WiiU,2014,Racing,#Nintendo,3130,2070,1270,490,6960,865
110,Fallout 4,PS4,2015,Role-Playing,#Bethesda Softworks,2470,3150,240,1100,6960,1173
111,Mario Kart: Double Dash!!,GC,2003,Racing,#Nintendo,4120,1770,870,190,6950,792
112,Just Dance 4,Wii,2012,Misc,#Ubisoft,4140,2210,0,560,6910,1055
113,FIFA 14,PS3,2013,Sports,#Electronic Arts,780,4320,70,1730,6900,978
114,Need for Speed Underground 2,PS2,2004,Racing,#Electronic Arts,2710,3020,80,1090,6900,1057
115,Medal of Honor: Frontline,PS2,2002,Shooter,#Electronic Arts,2930,2750,170,990,6840,560
116,Uncharted 3: Drake's Deception,PS3,2011,Action,#Sony Computer Entertainment,2770,2800,190,1060,6820,785
117,Crash Bandicoot,PS,1996,Platform,#Sony Computer Entertainment,3230,2350,940,300,6820,762
118,Zumba Fitness,Wii,2010,Sports,#505 Games,3500,2640,0,670,6810,1408
119,Gears of War 2,X360,2008,Shooter,#Microsoft Game Studios,4150,1920,60,640,6770,1350
120,Uncharted 2: Among Thieves,PS3,2009,Action,#Sony Computer Entertainment,3270,2250,210,1000,6730,648
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,#Activision,3100,2300,280,1040,6720,831
122,FIFA 12,PS3,2011,Sports,#Electronic Arts,840,4320,110,1420,6690,1490
123,Big Brain Academy,DS,2005,Misc,#Nintendo,1670,2780,1600,620,6670,717
124,Red Dead Redemption,PS3,2010,Action,#Take-Two Interactive,2790,2610,170,1030,6600,907
125,FIFA 15,PS4,2014,Sports,#Electronic Arts,790,4290,50,1470,6600,1140
126,Donkey Kong Country Returns,Wii,2010,Platform,#Nintendo,3250,1840,1030,470,6590,972
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,#Bethesda Softworks,2550,2710,250,1050,6560,1331
128,The Legend of Zelda,NES,1986,Action,#Nintendo,3740,930,1690,140,6500,838
129,Assassin's Creed III,PS3,2012,Action,#Ubisoft,2640,2560,160,1140,6500,854
130,Halo: Combat Evolved,XB,2001,Shooter,#Microsoft Game Studios,4980,1300,80,70,6430,716
131,Pokémon Emerald Version,GBA,2004,Role-Playing,#Nintendo,2570,1580,2060,210,6420,970
132,Kingdom Hearts,PS2,2002,Role-Playing,#Sony Computer Entertainment,3640,1200,1490,70,6400,1450
133,Pokémon Crystal Version,GB,2000,Role-Playing,#Nintendo,2550,1560,1290,990,6390,907
134,Halo 3: ODST,X360,2009,Shooter,#Microsoft Game Studios,4340,1350,60,610,6360,1007
135,Red Dead Redemption,X360,2010,Action,#Take-Two Interactive,3700,1970,90,570,6330,1249
136,Super Mario Sunshine,GC,2002,Platform,#Nintendo,4010,1260,870,170,6310,1048
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,#Capcom,2470,830,2870,120,6290,687
138,World of Warcraft,PC,2004,Role-Playing,#Activision,70,6210,0,0,6280,1112
139,Driver,PS,1999,Action,#GT Interactive,3110,2800,20,330,6260,543
140,Kinect Sports,X360,2010,Sports,#Microsoft Game Studios,3920,1780,30,510,6240,1358
141,Gears of War 3,X360,2011,Shooter,#Microsoft Game Studios,4050,1620,70,490,6230,979
142,Gears of War,X360,2006,Shooter,#Microsoft Game Studios,3540,1900,70,600,6110,559
