index,title,channel_title,publishTime,published_day_of_week,publish_country,duration_seconds,views,likes,dislikes,comment,impression
0,WE WANT TO TALK ABOUT OUR MARRIAGE,CaseyNeistat,4/24/2023,Monday,IN,861,748374,57527,2966,15954,2429895.02
1,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,12/18/2023,Monday,IN,729,2418783,97185,6146,12703,5273914.26
2,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",Rudy Mancuso,4/3/2023,Sunday,US,709,3191434,146033,5339,8181,7969010.5
3,Nickelback Lyrics: Real or Fake?,Good Mythical Morning,9/26/2023,Monday,IN,482,343168,10172,666,2146,735752.192
4,I Dare You: GOING BALD!?,nigahiga,11/14/2020,Sunday,IN,911,2095731,132235,1989,17518,5032269.36
5,2 Weeks with iPhone X,iJustine,6/26/2023,Monday,IN,754,119180,9763,511,1434,395081.7
6,Roy Moore & Jeff Sessions Cold Open - SNL,Saturday Night Live,3/27/2023,Sunday,IN,760,2103417,15993,2445,1970,5311969.14
7,5 Ice Cream Gadgets put to the Test,CrazyRussianHacker,4/11/2020,Sunday,IN,719,817732,23663,778,3432,2001153.91
8,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,20th Century Fox,10/10/2020,Monday,IN,625,826059,3543,119,340,1969159.91
9,Why the rise of the robots wonÃ¢â‚¬â„¢t mean the end of work,Vox,8/7/2023,Monday,US,1000,256426,12654,1363,2368,778124.655
10,Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights,NFL,9/4/2023,Monday,US,760,81377,655,25,177,202880.988
11,(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead,amc,7/2/2019,Monday,US,824,104578,1576,303,1279,227247.994
12,Marshmello - Blocks (Official Music Video),marshmello,12/16/2023,Monday,US,725,687582,114188,1333,8371,2101525.56
13,Which Countries Are About To Collapse?,NowThis World,12/10/2023,Sunday,IN,662,544770,7848,1171,3981,1644769.04
14,SHOPPING FOR NEW FISH!!!,The king of DIY,7/10/2023,Sunday,US,694,207532,7473,246,2120,367539.15
15,The New SpotMini,BostonDynamics,4/17/2023,Monday,IN,1014,75752,9419,52,1230,223279.02
16,One Change That Would Make Pacific Rim a Classic,Cracked,8/15/2019,Sunday,IN,802,295639,8011,638,1256,942851.872
17,How does your body know you're full? - Hilary Coller,TED-Ed,8/1/2020,Monday,IN,483,78044,5398,53,385,289738.35
18,HomeMade Electric Airplane,PeterSripol,11/28/2020,Monday,US,843,97007,11963,36,2211,205344.396
19,Founding An Inbreeding-Free Space Colony,SciShow,10/29/2020,Sunday,IN,694,223871,8421,191,1214,581974.998
20,How Can You Control Your Dreams?,Life Noggin,8/31/2023,Monday,IN,1166,115791,9586,75,2800,334520.145
21,The Making of Hela's Headdress from Thor: Ragnarok,Tested,7/3/2020,Sunday,IN,669,224019,3585,138,208,516901.385
22,Is It Dangerous To Talk To A Camera While Driving?,Tom Scott,7/23/2020,Monday,IN,964,144418,11758,89,1014,303104.472
23,"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Refinery29,8/13/2020,Sunday,IN,697,145921,1707,578,673,503777.633
24,Using Other People's Showers,Gus Johnson,8/8/2020,Monday,IN,613,33980,4884,52,234,123687.2
25,SPAGHETTI BURRITO VS SPAGHETTI BURRITO,HellthyJunkFood,6/6/2019,Sunday,US,898,223077,8676,193,1392,493223.28
26,78557 and Proth Primes - Numberphile,Numberphile,1/9/2023,Monday,US,854,80705,4687,41,437,166478.328
27,A Smart... MUG?! - Take apart a Heated Thermos!,JerryRigEverything,1/22/2023,Monday,IN,797,120727,9033,224,1346,274557.316
28,LeBron James admits he was ripping Phil Jackson and thinks DeShaun Watson should be the Browns qu...,Cleveland Cavaliers on cleveland.com,6/28/2018,Monday,IN,351,27943,156,36,83,104752.7184
29,Nick Andopolis: Drummer,FaeryInLoveInc,5/30/2020,Sunday,IN,952,50867,715,238,246,132233.8532
30,"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",hp_overload,11/9/2019,Monday,IN,701,98378,4035,495,486,318154.48
31,Amazon Christmas Advert 2017 - Toys & Games,Amazon.co.uk,12/23/2020,Monday,US,748,26000,119,69,0,64584
32,Eminem - Walk On Water (Audio) ft. BeyoncÃƒÂ©,EminemVEVO,12/19/2020,Friday,IN,639,17158531,787419,43420,125882,36938885.04
33,What's Inside a Detectives Car?,officer401,10/29/2023,Sunday,US,295,67661,3781,84,626,139138.038
34,New Emirates First Class Suite | Boeing 777 | Emirates,Emirates,3/13/2023,Sunday,IN,677,141148,1661,70,236,368819.724
35,Me-O Cats Commercial,Nobrand,6/8/2019,Friday,US,858,98966,2486,184,532,309664.635
36,TL;DW - Every DCEU Movie Before Justice League,Screen Junkies,1/1/2019,Sunday,US,830,288922,7515,792,2111,556174.85
37,Hunter Hayes - You Should Be Loved (Part One Of Pictures),Hunter Hayes,3/16/2019,Monday,US,844,13917,1318,24,76,28028.838
38,Celebrities on Thanksgiving 2017!,Niki and Gabi,11/30/2019,Sunday,IN,783,605932,38397,1387,3412,1891841.48
39,Nickelback - The Betrayal Act III [Official Video],Nickelback,11/14/2019,Monday,IN,1017,57169,6927,161,565,184358.619
40,U2 - The Blackout,U2VEVO,12/21/2019,Monday,US,910,60506,5389,106,455,129555.426
41,Iraq-Iran earthquake: Deadly tremor hits border region - BBC News,BBC News,6/13/2019,Sunday,IN,924,34785,308,26,413,130464.621
42,Dennis Smith Jr. and LeBron James go back and forth,Ben Rohrbach,2/29/2020,Monday,IN,776,945,7,5,8,2102.058
43,Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet,MatthewSantoro,8/22/2019,Saturday,IN,832,328330,15186,15448,7484,871125.156
44,"AFFAIRS, EX BOYFRIENDS, $18MILLION NET WORTH - GOOGLE US | Shawn and Andrew",Shawn Johnson East,1/8/2019,Saturday,IN,1050,321053,4451,1772,895,1178136.036
45,iPhone X vs Makeup Transformation (Face ID TEST),dope2111,10/25/2019,Sunday,IN,443,1456472,33505,1660,2160,4893746.2
46,People are Awesome & The Pet Collective present Pets are Awesome!,People are Awesome,9/21/2019,Monday,US,789,69844,3417,33,160,199893.528
47,Stephon Marbury and Jimmer Fredette fight in China,NBA Highlights Ã‚Â· YouTube,12/14/2019,Friday,US,705,956169,2017,2425,1447,2767535.64
48,Heidelberg's nifty hook-and-lateral to the left tackle,D3sports.com,11/24/2023,Monday,US,1542,4569,35,18,19,11782.0803
49,"ELDERS REACT TO iPHONE X (Facial Recognition, Animojis)",FBE,4/30/2020,Friday,IN,812,2045386,45406,2842,8309,6457487.8
50,Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!,Simply Nailogical,1/25/2020,Saturday,IN,818,1842393,99086,1339,11800,7015832
51,Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico,CBS Sunday Morning,1/17/2020,Sunday,IN,1079,6473,205,6,15,20187.9924
52,"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017",WWE,10/24/2020,Saturday,US,851,1044813,15397,838,1100,1788720.07
53,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,8/15/2020,Friday,IN,1336,9548677,190083,15015,11473,26486120.58
54,BLIND(folded) CAKE DECORATING CONTEST (with Molly Burke) // Grace Helbig,Grace Helbig,11/28/2019,Saturday,US,903,197062,7250,217,456,468219.29
55,Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show,The Graham Norton Show,10/19/2019,Friday,US,1008,1496225,16116,236,605,4424936.08
56,JaVale McGee's Parking Lot Chronicles: Episode 3,Kevin Durant,12/7/2019,Saturday,US,946,162597,5734,106,525,414866.235
57,Kellyanne Conway on Roy Moore This Week Abc: TrumpÃ¢â‚¬â„¢s Not Being Briefed On This Bit By Bit 11/12/17,JimBrowski 96HourNews,3/6/2023,Sunday,IN,649,9132,21,8,64,18877.6704
58,Train Swipes Parked Vehicle,ViralHog,4/27/2019,Monday,IN,458,7265,89,8,22,20452.428
59,Daddy's Home 2 - Movie Review,Jeremy Jahns,7/24/2023,Saturday,US,645,291597,8209,344,1062,624367.454
60,The Super Google Pixel 2 Camera Upgrade!,Jonathan Morrison,10/5/2019,Saturday,IN,938,290801,10237,377,1016,698620.296
61,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",TIME,4/10/2023,Monday,US,849,5304,52,13,68,16823.7576
62,#VeteransDay: Thank You for Everything,YouTube Spotlight,10/23/2023,Friday,IN,943,812516,26917,1979,4998,2799280.44
63,G-Eazy - The Plan (Official Video),GEazyMusicVEVO,12/5/2019,Friday,US,782,2642930,115795,3055,6410,6565038.12
64,U.S. Navy Three Carrier Formation in Western Pacific Ocean,U.S. Navy,10/12/2019,Sunday,IN,1028,105058,493,54,347,243104.16
65,Batman: Gotham by Gaslight - Exclusive Trailer (2018),IGN,5/7/2019,Friday,IN,869,537715,8231,413,970,1852267.06
66,Wearing Online Dollar Store Makeup For A Week,Safiya Nygaard,11/16/2019,Saturday,IN,776,2744430,115426,1110,6541,7207971.22
67,Getting My Driver's License | Lele Pons,Lele Pons,10/23/2018,Friday,IN,723,3358068,120876,8279,6408,8419011.68
68,Watch Norman Reedus Come Face to Face with his Ã¢â‚¬ËœWalking DeadÃ¢â‚¬â„¢ Double,INSIDER,7/12/2019,Monday,IN,677,4732,203,6,33,17056.494
